age,gender,spending_score,membership_years,purchase_frequency,preferred_category,last_purchase_amount,Cluster,Cluster_Description
36,Other,16,8,27,Clothing,970.06,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
60,Female,69,2,18,Electronics,197.29,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
29,Male,2,6,47,Electronics,91.94,0,Khách hàng thông thường - Chi tiêu trung bình
44,Other,89,4,37,Groceries,76.95,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
45,Other,54,10,48,Sports,639.22,0,Khách hàng thông thường - Chi tiêu trung bình
30,Female,37,1,6,Clothing,532.51,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
47,Male,78,4,38,Electronics,128.2,0,Khách hàng thông thường - Chi tiêu trung bình
48,Other,89,7,50,Electronics,967.99,0,Khách hàng thông thường - Chi tiêu trung bình
31,Female,43,4,29,Sports,88.44,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
22,Male,14,5,41,Home & Garden,98.86,1,Khách hàng thông thường - Chi tiêu trung bình
23,Male,31,1,48,Home & Garden,713.33,1,Khách hàng thông thường - Chi tiêu trung bình
52,Male,70,2,34,Clothing,192.66,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
35,Male,6,6,45,Home & Garden,165.18,1,Khách hàng thông thường - Chi tiêu trung bình
28,Other,79,5,50,Home & Garden,956.73,1,Khách hàng thông thường - Chi tiêu trung bình
50,Male,45,4,31,Home & Garden,753.6,1,Khách hàng thông thường - Chi tiêu trung bình
49,Other,28,5,42,Clothing,214.93,0,Khách hàng thông thường - Chi tiêu trung bình
56,Male,40,6,8,Electronics,355.34,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
48,Male,94,9,3,Electronics,189.28,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
19,Other,65,5,10,Sports,28.55,1,Khách hàng thông thường - Chi tiêu trung bình
68,Female,96,2,18,Groceries,673.79,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
61,Female,83,9,35,Clothing,110.32,0,Khách hàng thông thường - Chi tiêu trung bình
24,Female,83,4,36,Sports,589.35,1,Khách hàng thông thường - Chi tiêu trung bình
45,Other,73,9,16,Groceries,893.44,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
33,Female,84,9,38,Home & Garden,332.34,0,Khách hàng thông thường - Chi tiêu trung bình
56,Female,55,2,41,Sports,774.5,1,Khách hàng thông thường - Chi tiêu trung bình
42,Other,50,4,13,Sports,903.07,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
63,Other,7,9,20,Electronics,195.34,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
49,Female,48,5,24,Sports,843.87,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
43,Female,12,7,1,Electronics,806.26,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
21,Female,1,5,7,Clothing,399.58,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
23,Male,14,6,7,Groceries,224.86,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
30,Other,87,10,36,Clothing,174.41,0,Khách hàng thông thường - Chi tiêu trung bình
49,Female,49,8,6,Sports,636.65,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
50,Female,31,1,19,Electronics,319.05,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
27,Other,36,2,2,Sports,494.55,1,Khách hàng thông thường - Chi tiêu trung bình
32,Male,69,3,29,Home & Garden,686.05,1,Khách hàng thông thường - Chi tiêu trung bình
36,Female,75,5,7,Electronics,335.98,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
43,Female,52,9,41,Clothing,95.08,0,Khách hàng thông thường - Chi tiêu trung bình
32,Male,88,5,16,Electronics,103.33,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
49,Other,32,9,49,Sports,495.62,1,Khách hàng thông thường - Chi tiêu trung bình
23,Female,60,1,18,Electronics,77.73,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
58,Other,30,3,50,Groceries,880.23,1,Khách hàng thông thường - Chi tiêu trung bình
31,Female,21,1,5,Groceries,552.21,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
38,Female,63,8,9,Home & Garden,92.69,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
58,Other,56,8,42,Groceries,57.57,0,Khách hàng thông thường - Chi tiêu trung bình
60,Female,68,8,28,Home & Garden,522.95,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
49,Male,4,1,36,Groceries,990.0,1,Khách hàng thông thường - Chi tiêu trung bình
32,Other,20,7,10,Clothing,41.55,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
30,Other,27,3,14,Groceries,476.25,1,Khách hàng thông thường - Chi tiêu trung bình
68,Other,54,4,40,Electronics,738.6,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
65,Other,90,9,39,Electronics,812.36,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
36,Female,60,1,17,Groceries,15.66,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
36,Female,94,8,15,Sports,265.04,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
56,Male,77,9,35,Electronics,13.16,0,Khách hàng thông thường - Chi tiêu trung bình
19,Male,43,3,14,Clothing,392.36,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
31,Other,24,6,31,Home & Garden,120.8,1,Khách hàng thông thường - Chi tiêu trung bình
59,Male,3,10,48,Home & Garden,755.92,0,Khách hàng thông thường - Chi tiêu trung bình
31,Male,20,7,31,Sports,59.84,1,Khách hàng thông thường - Chi tiêu trung bình
18,Other,8,7,4,Clothing,746.18,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
45,Other,80,4,8,Home & Garden,754.24,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
32,Other,16,1,47,Home & Garden,209.86,1,Khách hàng thông thường - Chi tiêu trung bình
39,Other,67,6,28,Home & Garden,930.36,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
65,Male,83,8,11,Electronics,230.58,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
46,Other,7,10,13,Clothing,190.55,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
30,Other,97,10,19,Sports,670.87,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
23,Male,46,10,21,Clothing,377.31,0,Khách hàng thông thường - Chi tiêu trung bình
63,Other,31,7,20,Electronics,582.57,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
49,Male,99,9,26,Clothing,674.7,0,Khách hàng thông thường - Chi tiêu trung bình
21,Other,45,3,32,Sports,795.84,1,Khách hàng thông thường - Chi tiêu trung bình
26,Female,58,2,50,Clothing,23.33,0,Khách hàng thông thường - Chi tiêu trung bình
40,Female,1,2,5,Groceries,241.91,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
18,Male,70,7,38,Groceries,127.14,0,Khách hàng thông thường - Chi tiêu trung bình
19,Male,50,7,32,Clothing,532.51,0,Khách hàng thông thường - Chi tiêu trung bình
60,Female,4,2,1,Sports,29.58,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
20,Other,7,2,45,Clothing,597.15,1,Khách hàng thông thường - Chi tiêu trung bình
55,Female,37,7,27,Electronics,941.67,0,Khách hàng thông thường - Chi tiêu trung bình
19,Other,59,6,30,Sports,873.8,1,Khách hàng thông thường - Chi tiêu trung bình
65,Male,72,9,21,Home & Garden,633.63,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
57,Female,90,8,44,Electronics,179.8,0,Khách hàng thông thường - Chi tiêu trung bình
56,Female,86,7,38,Home & Garden,627.65,0,Khách hàng thông thường - Chi tiêu trung bình
37,Male,33,5,34,Sports,756.32,1,Khách hàng thông thường - Chi tiêu trung bình
64,Male,85,7,20,Clothing,930.73,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
58,Male,33,7,20,Groceries,450.72,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
32,Male,4,5,36,Sports,415.44,1,Khách hàng thông thường - Chi tiêu trung bình
64,Male,11,5,21,Electronics,69.78,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
59,Male,89,7,42,Home & Garden,451.82,0,Khách hàng thông thường - Chi tiêu trung bình
62,Male,44,4,31,Electronics,668.91,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
62,Male,36,9,44,Home & Garden,755.67,0,Khách hàng thông thường - Chi tiêu trung bình
33,Male,75,8,46,Groceries,895.58,0,Khách hàng thông thường - Chi tiêu trung bình
68,Female,12,2,49,Clothing,848.14,0,Khách hàng thông thường - Chi tiêu trung bình
47,Female,50,5,21,Groceries,884.19,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
43,Male,66,6,23,Electronics,138.51,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
26,Other,29,9,37,Sports,50.57,1,Khách hàng thông thường - Chi tiêu trung bình
30,Male,94,8,17,Home & Garden,553.35,0,Khách hàng thông thường - Chi tiêu trung bình
66,Other,58,1,23,Clothing,960.08,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
26,Female,60,9,29,Electronics,389.37,0,Khách hàng thông thường - Chi tiêu trung bình
58,Male,90,5,18,Sports,405.05,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
40,Other,70,10,45,Electronics,370.75,0,Khách hàng thông thường - Chi tiêu trung bình
67,Other,64,1,17,Sports,957.06,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
61,Female,25,7,26,Clothing,714.15,0,Khách hàng thông thường - Chi tiêu trung bình
51,Male,70,9,28,Sports,914.97,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
67,Female,78,10,28,Home & Garden,11.29,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
25,Other,85,8,49,Groceries,764.28,0,Khách hàng thông thường - Chi tiêu trung bình
26,Male,91,6,18,Sports,70.56,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
29,Female,85,8,29,Clothing,480.87,0,Khách hàng thông thường - Chi tiêu trung bình
31,Male,25,10,37,Sports,378.4,0,Khách hàng thông thường - Chi tiêu trung bình
48,Male,49,6,46,Sports,179.25,1,Khách hàng thông thường - Chi tiêu trung bình
67,Female,66,2,21,Clothing,798.2,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
18,Female,33,8,23,Groceries,316.27,0,Khách hàng thông thường - Chi tiêu trung bình
18,Female,84,3,26,Clothing,453.34,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
23,Other,85,9,40,Electronics,673.02,0,Khách hàng thông thường - Chi tiêu trung bình
37,Male,13,5,45,Home & Garden,18.49,1,Khách hàng thông thường - Chi tiêu trung bình
55,Other,73,9,24,Groceries,624.81,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
41,Female,49,3,10,Home & Garden,421.24,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
44,Other,29,10,25,Electronics,898.68,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
58,Other,17,5,12,Electronics,855.21,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
69,Male,2,10,29,Electronics,518.7,0,Khách hàng thông thường - Chi tiêu trung bình
47,Female,91,2,6,Home & Garden,979.41,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
34,Other,89,3,19,Groceries,273.34,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
54,Male,29,6,42,Clothing,335.15,0,Khách hàng thông thường - Chi tiêu trung bình
55,Other,86,5,22,Electronics,368.75,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
45,Female,20,1,1,Home & Garden,215.41,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
43,Male,61,8,40,Groceries,711.04,0,Khách hàng thông thường - Chi tiêu trung bình
30,Other,43,4,2,Electronics,933.73,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
53,Other,58,2,32,Electronics,880.78,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
24,Female,77,4,25,Home & Garden,663.21,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
69,Female,59,2,37,Clothing,762.41,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
61,Other,36,3,26,Groceries,393.6,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
58,Other,70,5,24,Home & Garden,722.18,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
36,Other,28,5,49,Home & Garden,367.97,1,Khách hàng thông thường - Chi tiêu trung bình
69,Female,18,1,15,Sports,762.55,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
64,Other,75,1,17,Sports,771.33,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
45,Male,72,5,41,Sports,228.88,1,Khách hàng thông thường - Chi tiêu trung bình
60,Other,37,8,42,Sports,520.37,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
64,Other,10,4,47,Home & Garden,184.45,1,Khách hàng thông thường - Chi tiêu trung bình
41,Female,19,10,36,Groceries,566.65,0,Khách hàng thông thường - Chi tiêu trung bình
18,Other,61,10,16,Clothing,18.6,0,Khách hàng thông thường - Chi tiêu trung bình
36,Other,82,9,2,Clothing,14.52,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
51,Female,95,5,33,Sports,115.09,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
37,Male,60,8,39,Groceries,975.1,0,Khách hàng thông thường - Chi tiêu trung bình
21,Male,13,3,43,Home & Garden,82.88,1,Khách hàng thông thường - Chi tiêu trung bình
19,Male,25,4,34,Groceries,696.59,1,Khách hàng thông thường - Chi tiêu trung bình
56,Female,96,8,38,Home & Garden,631.06,0,Khách hàng thông thường - Chi tiêu trung bình
47,Other,89,5,9,Home & Garden,861.66,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
33,Female,86,1,16,Sports,160.11,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
34,Male,62,2,24,Sports,843.15,1,Khách hàng thông thường - Chi tiêu trung bình
65,Other,30,2,35,Electronics,218.74,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
67,Female,75,5,27,Electronics,94.32,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
45,Female,57,8,39,Groceries,263.93,0,Khách hàng thông thường - Chi tiêu trung bình
48,Male,30,3,35,Home & Garden,624.36,1,Khách hàng thông thường - Chi tiêu trung bình
49,Male,83,3,6,Groceries,208.79,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
40,Male,36,6,25,Electronics,625.28,0,Khách hàng thông thường - Chi tiêu trung bình
43,Female,95,4,49,Home & Garden,223.39,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
27,Male,8,10,42,Groceries,35.01,0,Khách hàng thông thường - Chi tiêu trung bình
41,Female,91,6,27,Home & Garden,401.63,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
40,Other,84,10,41,Groceries,426.62,0,Khách hàng thông thường - Chi tiêu trung bình
35,Male,32,6,24,Electronics,111.27,0,Khách hàng thông thường - Chi tiêu trung bình
55,Male,14,2,16,Sports,286.79,1,Khách hàng thông thường - Chi tiêu trung bình
45,Male,62,1,35,Electronics,940.93,1,Khách hàng thông thường - Chi tiêu trung bình
41,Other,68,1,16,Electronics,504.16,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
35,Male,80,2,27,Electronics,23.73,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
63,Other,48,10,50,Electronics,26.85,0,Khách hàng thông thường - Chi tiêu trung bình
69,Female,10,6,27,Groceries,377.66,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
69,Male,95,10,42,Clothing,931.51,0,Khách hàng thông thường - Chi tiêu trung bình
67,Other,79,8,13,Electronics,261.07,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
48,Male,5,6,35,Home & Garden,410.05,1,Khách hàng thông thường - Chi tiêu trung bình
34,Female,66,10,26,Home & Garden,610.66,0,Khách hàng thông thường - Chi tiêu trung bình
39,Male,76,9,21,Groceries,32.38,0,Khách hàng thông thường - Chi tiêu trung bình
45,Female,30,10,15,Groceries,81.91,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
63,Female,47,9,22,Clothing,279.96,0,Khách hàng thông thường - Chi tiêu trung bình
45,Male,28,9,49,Groceries,628.43,0,Khách hàng thông thường - Chi tiêu trung bình
25,Male,16,8,44,Sports,971.09,1,Khách hàng thông thường - Chi tiêu trung bình
66,Other,41,6,9,Home & Garden,354.46,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
49,Male,53,6,27,Home & Garden,436.43,1,Khách hàng thông thường - Chi tiêu trung bình
27,Male,78,8,42,Electronics,825.01,0,Khách hàng thông thường - Chi tiêu trung bình
34,Male,18,3,19,Electronics,947.73,1,Khách hàng thông thường - Chi tiêu trung bình
58,Male,75,10,40,Sports,324.91,0,Khách hàng thông thường - Chi tiêu trung bình
59,Female,62,3,10,Clothing,49.53,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
60,Female,24,5,39,Home & Garden,544.04,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
47,Other,24,10,3,Electronics,406.56,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
40,Female,89,7,11,Clothing,356.35,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
18,Other,20,1,41,Home & Garden,215.95,1,Khách hàng thông thường - Chi tiêu trung bình
47,Female,29,9,28,Sports,706.37,0,Khách hàng thông thường - Chi tiêu trung bình
33,Male,43,2,49,Home & Garden,956.03,1,Khách hàng thông thường - Chi tiêu trung bình
69,Other,93,4,45,Electronics,339.9,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
26,Other,27,5,46,Electronics,761.08,1,Khách hàng thông thường - Chi tiêu trung bình
46,Female,19,2,45,Sports,635.93,1,Khách hàng thông thường - Chi tiêu trung bình
55,Female,24,9,16,Electronics,169.79,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
57,Male,82,9,24,Clothing,563.64,0,Khách hàng thông thường - Chi tiêu trung bình
69,Male,90,7,29,Electronics,559.73,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
62,Male,51,8,37,Clothing,155.14,0,Khách hàng thông thường - Chi tiêu trung bình
67,Other,3,2,26,Clothing,868.18,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
53,Female,12,6,45,Sports,915.02,1,Khách hàng thông thường - Chi tiêu trung bình
51,Female,12,2,2,Groceries,139.07,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
54,Female,18,7,14,Electronics,238.87,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
19,Female,48,8,28,Home & Garden,278.21,0,Khách hàng thông thường - Chi tiêu trung bình
65,Male,71,10,34,Electronics,840.45,0,Khách hàng thông thường - Chi tiêu trung bình
53,Male,27,7,16,Home & Garden,345.62,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
19,Other,90,5,35,Groceries,515.99,1,Khách hàng thông thường - Chi tiêu trung bình
56,Male,40,4,25,Electronics,197.54,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
24,Female,44,7,45,Electronics,204.27,0,Khách hàng thông thường - Chi tiêu trung bình
66,Male,41,7,24,Groceries,66.6,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
41,Female,22,6,31,Groceries,212.53,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
29,Female,45,7,24,Sports,479.36,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
19,Female,21,1,22,Groceries,132.88,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
42,Other,79,9,31,Sports,537.66,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
62,Other,22,3,14,Electronics,821.42,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
64,Other,19,4,23,Groceries,949.32,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
64,Female,41,9,41,Groceries,924.18,0,Khách hàng thông thường - Chi tiêu trung bình
44,Female,33,6,27,Groceries,640.96,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
41,Female,50,8,5,Sports,35.16,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
31,Female,74,3,18,Electronics,947.76,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
25,Other,6,4,30,Electronics,923.64,1,Khách hàng thông thường - Chi tiêu trung bình
47,Female,84,6,19,Home & Garden,911.0,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
28,Other,19,5,15,Home & Garden,922.01,1,Khách hàng thông thường - Chi tiêu trung bình
44,Male,31,6,32,Electronics,464.42,0,Khách hàng thông thường - Chi tiêu trung bình
54,Other,28,9,25,Sports,244.79,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
28,Other,57,8,35,Sports,17.97,1,Khách hàng thông thường - Chi tiêu trung bình
54,Female,98,9,42,Sports,894.21,0,Khách hàng thông thường - Chi tiêu trung bình
47,Male,52,5,10,Home & Garden,21.43,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
43,Male,27,10,30,Electronics,223.64,0,Khách hàng thông thường - Chi tiêu trung bình
25,Other,70,2,37,Groceries,556.23,1,Khách hàng thông thường - Chi tiêu trung bình
49,Other,25,7,21,Groceries,271.52,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
66,Other,98,9,44,Home & Garden,827.44,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
27,Other,69,8,22,Clothing,150.58,0,Khách hàng thông thường - Chi tiêu trung bình
46,Other,55,9,22,Clothing,486.25,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
26,Male,19,3,28,Sports,935.64,1,Khách hàng thông thường - Chi tiêu trung bình
37,Other,74,3,10,Electronics,624.29,2,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
68,Male,59,2,35,Groceries,12.36,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
39,Female,82,6,19,Sports,759.6,3,"Khách hàng tiềm năng - Chi tiêu khá, mua sắm không thường xuyên"
39,Other,96,7,41,Sports,25.44,1,Khách hàng thông thường - Chi tiêu trung bình
60,Other,18,2,47,Electronics,599.66,1,Khách hàng thông thường - Chi tiêu trung bình
